time_diff_minutes,distance_km,scan_day_of_week,scan_hour_of day,is_first_scan,historical_attendance_rate,last_attendance_streak,is_proxy
4.2,,,,,,,
3.1,0.08,2,11,0,0.95,16,0
7.5,0.21,3,10,0,0.88,8,0
2.8,0.12,3,11,0,0.99,25,0
5,0.1,4,14,0,0.91,12,0
1.9,0.05,4,15,0,0.96,18,0
6.5,0.18,5,9,0,0.89,9,0
3.7,0.11,5,10,0,0.94,14,0
8.1,0.23,2,10,0,0.9,7,0
4.4,0.14,2,11,0,0.93,13,0
2.2,0.07,3,10,0,0.97,20,0
6.8,0.19,3,11,0,0.86,5,0
3.3,0.13,4,14,0,0.98,22,0
7.9,0.2,4,15,0,0.85,4,0
1,0.04,5,9,0,0.96,17,0
5.6,0.16,5,10,0,0.92,11,0
8.9,0.24,6,12,0,0.91,6,0
4.1,0.1,6,14,0,0.95,15,0
2.7,0.06,2,10,0,0.94,14,0
7.4,0.17,2,11,0,0.9,9,0
3.6,0.12,3,10,0,0.96,16,0
5.1,0.15,3,11,0,0.87,7,0
1.8,0.05,4,14,0,0.98,21,0
6.9,0.2,4,15,0,0.93,13,0
4.9,0.14,5,9,0,0.89,10,0
2,0.06,5,10,0,0.97,19,0
7.1,0.21,6,12,0,0.91,11,0
3,0.09,6,14,0,0.95,15,0
6.2,0.16,2,10,0,0.88,8,0
1.4,0.03,2,11,0,0.99,26,0
8.3,0.22,3,10,0,0.9,9,0
4.7,0.15,3,11,0,0.94,14,0
2.5,0.07,4,14,0,0.97,20,0
5.9,0.18,4,15,0,0.85,5,0
0.9,0.02,5,9,0,0.96,17,0
4.8,0.13,5,10,0,0.93,12,0
7.6,0.2,6,12,0,0.89,10,0
3.8,0.11,6,14,0,0.98,21,0
6.7,0.17,2,10,0,0.9,9,0
2.4,0.05,2,11,0,0.99,27,0
4.6,0.15,3,10,0,0.94,15,0
7.2,0.2,3,11,0,0.88,8,0
3.5,0.13,4,14,0,0.97,21,0
5.4,0.16,4,15,0,0.86,6,0
1.3,0.03,5,9,0,0.95,16,0
6.6,0.19,5,10,0,0.92,12,0
8,0.21,6,12,0,0.91,7,0
4.3,0.11,6,14,0,0.96,17,0
2.6,0.06,2,10,0,0.93,13,0
7.3,0.18,2,11,0,0.9,8,0
3.7,0.12,3,10,0,0.95,15,0
5,0.15,3,11,0,0.87,7,0
1.9,0.04,4,14,0,0.98,20,0
6.8,0.19,4,15,0,0.94,13,0
4.8,0.13,5,9,0,0.88,9,0
2.1,0.05,5,10,0,0.96,18,0
7,0.2,6,12,0,0.91,10,0
3.1,0.08,6,14,0,0.99,22,0
6,0.15,2,10,0,0.89,9,0
1.5,0.02,2,11,0,0.97,25,0
8.2,0.22,3,10,0,0.9,8,0
4.5,0.14,3,11,0,0.93,13,0
2.7,0.07,4,14,0,0.96,19,0
5.8,0.18,4,15,0,0.85,5,0
0.9,0.01,5,9,0,0.97,18,0
4.7,0.13,5,10,0,0.94,13,0
7.5,0.21,6,12,0,0.89,9,0
3.9,0.11,6,14,0,0.98,21,0
6.9,0.17,2,10,0,0.9,10,0
2.3,0.04,2,11,0,0.99,26,0
4.5,0.14,3,10,0,0.95,16,0
7.1,0.2,3,11,0,0.87,7,0
3.4,0.12,4,14,0,0.96,18,0
5.2,0.15,4,15,0,0.88,8,0
1.6,0.05,5,9,0,0.97,19,0
6.7,0.19,5,10,0,0.91,11,0
8.1,0.21,6,12,0,0.89,9,0
4,0.1,6,14,0,0.98,21,0
2.8,0.07,2,10,0,0.93,12,0
7.6,0.19,2,11,0,0.9,9,0
3.5,0.11,3,10,0,0.95,15,0
5.3,0.16,3,11,0,0.87,7,0
1.7,0.04,4,14,0,0.98,20,0
6.6,0.17,4,15,0,0.94,14,0
4.9,0.13,5,9,0,0.89,10,0
2,0.06,5,10,0,0.97,19,0
7.1,0.2,6,12,0,0.91,10,0
3,0.09,6,14,0,0.96,16,0
5.8,0.15,2,10,0,0.88,8,0
1.4,0.03,2,11,0,0.99,25,0
8.3,0.22,3,10,0,0.9,9,0
4.7,0.14,3,11,0,0.93,14,0
2.5,0.07,4,14,0,0.97,20,0
5.9,0.18,4,15,0,0.85,5,0
0.8,0.02,5,9,0,0.96,17,0
4.6,0.13,5,10,0,0.93,12,0
7.6,0.2,6,12,0,0.89,10,0
3.7,0.11,6,14,0,0.98,21,0
6.7,0.17,2,10,0,0.9,9,0
2.4,0.05,2,11,0,0.99,26,0
4.5,0.14,3,10,0,0.95,15,0
7.2,0.2,3,11,0,0.87,7,0
3.4,0.12,4,14,0,0.96,16,0
5.1,0.15,4,15,0,0.88,8,0
1.6,0.05,5,9,0,0.97,18,0
6.7,0.19,5,10,0,0.91,11,0
8,0.21,6,12,0,0.89,9,0
4,0.1,6,14,0,0.98,21,0
0.1,28.5,4,9,0,0.99,28,1
150,0.1,3,10,0,0.7,1,1
0.8,15.2,5,14,0,0.95,15,1
35,0.25,2,11,0,0.5,0,1
1.5,0.03,2,10,1,0,0,1
90,1.5,6,12,0,0.8,5,1
12.5,5.1,3,14,0,0.9,10,1
1.1,35,4,9,0,0.95,15,1
100,2.5,5,15,0,0.45,1,1
0.2,0.06,2,14,0,0.3,0,1
0.05,18,3,10,0,0.9,10,1
185,1,4,11,0,0.6,0,1
