time_diff_minutes,distance_km,scan_day_of_week,scan_hour_of_day,is_first_scan,historical_attendance_rate,last_attendance_streak,is_proxy
49.30287432,17.05802879,5,12,0,0.953511895,19,0
21.16780669,12.64334806,6,14,0,0.818516001,8,0
55.99235253,4.599239233,5,11,1,0.715379038,3,0
94.77758536,0,2,8,1,0.820562881,14,0
16.91908682,10.53784208,2,16,0,0.902126869,16,0
16.91981428,7.70392801,2,12,0,0.835105116,1,0
97.26697905,12.36956612,5,9,1,0.924688945,21,0
61.29815017,9.951493778,3,15,1,0.807094729,3,0
6.492319552,13.80503412,4,9,0,0.890423242,22,0
51.33424597,0,4,10,0,0.755925941,18,0
6.760683729,16.29582802,1,17,0,0.924810831,9,0
6.658239331,5.88228581,4,8,0,0.863708791,6,0
38.01515051,23.34361961,4,9,0,0.761219317,23,1
0,0,2,14,0,0.787573352,21,0
0,20.18832238,2,17,0,0.924582613,1,0
2.379890151,5.88517962,5,9,0,0.844780371,21,0
0,0,1,13,0,0.764809432,10,0
41.21800734,0,0,10,0,0.990181357,6,0
0,1.065632193,6,11,0,0.914537506,23,0
0,7.98924226,1,15,0,0.98714045,12,0
92.23510417,8.906820863,1,10,0,0.828131514,4,1
17.29026407,0,3,17,1,0.842530102,13,0
30.28620438,3.818220055,5,13,0,0.969386565,17,0
0,23.96677514,3,8,0,0.857514802,8,1
3.17322871,20.1100146,1,14,0,0.912183674,20,0
32.20895301,8.102303156,1,15,0,0.775651863,3,0
0,4.39811969,1,15,1,0.834017941,12,0
43.94080713,5.160938665,4,10,0,0.73703496,7,0
0.680600211,9.750123732,6,17,0,0.761794011,12,0
14.36954781,0,6,8,0,0.700283025,2,1
0.633281965,1.651229642,3,16,0,0.711779515,24,0
109.3661496,0,1,13,1,0.993185147,14,1
26.69607321,7.757286167,6,16,1,0.772706109,22,0
0,10.0633124,2,14,0,0.898993213,23,0
63.74001054,0,6,8,0,0.95172991,5,0
0,18.68201493,5,8,1,0.865198138,9,0
36.54859129,0,5,13,1,0.74594335,21,0
0,0,6,12,0,0.918434931,11,0
0,6.131998299,2,16,0,0.880075423,5,0
36.01678241,13.78220928,5,9,0,0.919375177,3,0
60.01460924,19.70441193,4,15,1,0.930923987,17,0
34.88722281,0,6,12,0,0.99262311,2,0
22.169893,14.07591141,4,9,0,0.872068984,24,1
13.95260537,3.686595902,6,17,0,0.802492334,1,1
0,2.439356207,0,13,0,0.894539367,7,0
0,12.26231222,0,17,0,0.720532213,14,0
6.883814134,10.11099042,0,15,0,0.969219195,5,0
74.13382556,0,5,11,0,0.735814303,19,0
42.51939616,17.77581082,4,9,0,0.798352851,11,0
0,16.87888222,4,12,0,0.944723614,23,0
41.6538559,0,4,9,0,0.879193713,2,0
10.23162374,7.725485656,2,9,0,0.818090656,8,1
0,8.638945609,4,13,1,0.842030698,9,0
54.3966967,6.468844738,2,17,0,0.956364218,3,0
72.97636261,0,0,16,0,0.802001316,2,0
68.55792583,0,0,11,0,0.960894905,7,0
0,3.807065488,5,13,0,0.726440329,5,0
13.59332032,14.95051366,6,14,0,0.933039531,21,0
41.9719685,9.099922132,0,13,0,0.95426429,5,1
70.51925064,0.598173393,6,15,0,0.754545296,20,0
6.062531757,11.22112743,6,11,0,0.82910396,13,0
19.06781039,0,5,8,0,0.749649932,21,0
0,14.72766649,1,14,0,0.911981239,20,0
0,0,1,10,0,0.86060433,6,0
63.29607773,0.674181939,3,13,0,0.890597004,20,1
87.3873455,0,5,9,0,0.75894609,18,1
24.10344302,0,3,16,0,0.763523759,2,0
71.75935228,14.83982871,3,8,1,0.712449198,6,0
43.31773854,0,1,13,1,0.796620261,9,1
0,7.267022945,5,13,0,0.867923398,3,0
43.30708586,3.608367388,1,12,0,0.957380474,1,0
95.44251312,8.480952857,3,12,0,0.900078234,1,0
25.70671255,4.759111993,5,8,0,0.830618897,19,0
96.62143857,0,3,17,0,0.985936034,5,0
0,13.30950129,4,12,1,0.91577356,13,0
63.71154629,0,6,9,0,0.979049561,19,0
31.15105978,0,5,14,1,0.858276392,12,0
